row	col	gene1	gene2	score	score_ranking	train_edge	test_edge	new_edge
37	54	ABCA5	ABCC12	0.9935360550880432	34	0	0	1
29	57	ABCA1	ABCC3	0.9934217929840088	35	0	0	1
9	37	AADAC	ABCA5	0.9930732846260071	36	0	0	1
78	85	ABHD11	ABHD16A	0.9929563999176025	37	0	0	1
43	53	ABCB10	ABCC11	0.9925262928009033	38	0	0	1
23	24	AASDH	AASDHPPT	0.9924652576446533	39	0	0	1
61	96	ABCC8	ABHD8	0.9916870594024658	40	0	0	1
25	73	AASS	ABCG4	0.9915882349014282	41	0	0	1
28	57	ABAT	ABCC3	0.9915727376937866	42	0	0	1
24	86	AASDHPPT	ABHD16B	0.9915722012519836	43	0	0	1
98	99	ABI2	ABI3	0.9915404319763184	44	0	0	1
21	59	AARS2	ABCC5	0.9915112853050232	45	0	0	1
46	63	ABCB5	ABCD1	0.9912798404693604	46	0	0	1
9	81	AADAC	ABHD13	0.9912691712379456	47	0	0	1
22	37	AARSD1	ABCA5	0.9911335110664368	48	0	0	1
38	68	ABCA6	ABCF1	0.9908792972564697	49	0	0	1
31	55	ABCA11P	ABCC13	0.9907206892967224	50	0	0	1
44	93	ABCB11	ABHD4	0.9904473423957825	51	0	0	1
20	21	AARS	AARS2	0.9900469779968262	52	0	0	1
28	78	ABAT	ABHD11	0.9898305535316467	53	0	0	1
3	35	A2ML1	ABCA3	0.9898065328598022	54	0	0	1
10	40	AADACL2	ABCA8	0.9894291162490845	55	0	0	1
19	59	AARD	ABCC5	0.9893870949745178	56	0	0	1
17	86	AANAT	ABHD16B	0.9892995357513428	57	0	0	1
22	78	AARSD1	ABHD11	0.9890774488449097	58	0	0	1
66	81	ABCD4	ABHD13	0.9888680577278137	59	0	0	1
61	78	ABCC8	ABHD11	0.9888396263122559	60	0	0	1
70	78	ABCF3	ABHD11	0.9887492060661316	61	0	0	1
28	38	ABAT	ABCA6	0.9887148141860962	62	0	0	1
20	67	AARS	ABCE1	0.9886091351509094	63	0	0	1
64	79	ABCD2	ABHD12	0.9884827136993408	64	0	0	1
35	71	ABCA3	ABCG1	0.9884622693061829	65	0	0	1
41	97	ABCA9	ABI1	0.9884049892425537	66	0	0	1
29	56	ABCA1	ABCC2	0.9881791472434998	67	0	0	1
35	88	ABCA3	ABHD17B	0.9879974722862244	68	0	0	1
97	98	ABI1	ABI2	0.9876803159713745	69	0	0	1
15	36	AAMDC	ABCA4	0.9875824451446533	70	0	0	1
49	51	ABCB8	ABCC1	0.9875474572181702	71	0	0	1
4	80	A3GALT2	ABHD12B	0.9875257611274719	72	0	0	1
26	90	AATF	ABHD18	0.987501323223114	73	0	0	1
80	96	ABHD12B	ABHD8	0.9874067902565002	74	0	0	1
27	48	AATK	ABCB7	0.9872827529907227	75	0	0	1
42	74	ABCB1	ABCG5	0.9871465563774109	76	0	0	1
13	20	AAGAB	AARS	0.9867715835571289	77	0	0	1
10	42	AADACL2	ABCB1	0.9867371320724487	78	0	0	1
39	57	ABCA7	ABCC3	0.9866486191749573	79	0	0	1
52	84	ABCC10	ABHD15	0.9865299463272095	80	0	0	1
5	51	A4GALT	ABCC1	0.9861577153205872	81	0	0	1
27	68	AATK	ABCF1	0.9860821962356567	82	0	0	1
9	98	AADAC	ABI2	0.9860358238220215	83	0	0	1
58	99	ABCC4	ABI3	0.9860062599182129	84	0	0	1
39	68	ABCA7	ABCF1	0.9856646656990051	85	0	0	1
9	17	AADAC	AANAT	0.9852055311203003	86	0	0	1
7	65	AAAS	ABCD3	0.9849708080291748	87	0	0	1
12	66	AADAT	ABCD4	0.984919548034668	88	0	0	1
46	57	ABCB5	ABCC3	0.9847916960716248	89	0	0	1
54	92	ABCC12	ABHD3	0.9847565293312073	90	0	0	1
5	42	A4GALT	ABCB1	0.9845718741416931	91	0	0	1
63	80	ABCD1	ABHD12B	0.9843546748161316	92	0	0	1
68	90	ABCF1	ABHD18	0.9839572310447693	93	0	0	1
62	69	ABCC9	ABCF2	0.9839180707931519	94	0	0	1
70	82	ABCF3	ABHD14A	0.9835280179977417	95	0	0	1
10	84	AADACL2	ABHD15	0.9829462766647339	96	0	0	1
4	98	A3GALT2	ABI2	0.9828393459320068	97	0	0	1
22	83	AARSD1	ABHD14B	0.9824779629707336	98	0	0	1
39	90	ABCA7	ABHD18	0.9822839498519897	99	0	0	1
18	74	AAR2	ABCG5	0.9819880127906799	100	0	0	1
31	94	ABCA11P	ABHD5	0.9817196726799011	101	0	0	1
72	94	ABCG2	ABHD5	0.9814338684082031	102	0	0	1
5	34	A4GALT	ABCA2	0.9814161658287048	103	0	0	1
1	68	A1CF	ABCF1	0.9812982678413391	104	0	0	1
74	99	ABCG5	ABI3	0.9810082912445068	105	0	0	1
12	94	AADAT	ABHD5	0.9808704257011414	106	0	0	1
9	83	AADAC	ABHD14B	0.9808458089828491	107	0	0	1
15	70	AAMDC	ABCF3	0.9806990623474121	108	0	0	1
36	55	ABCA4	ABCC13	0.9806989431381226	109	0	0	1
22	73	AARSD1	ABCG4	0.9803529381752014	110	0	0	1
66	71	ABCD4	ABCG1	0.9798746109008789	111	0	0	1
48	54	ABCB7	ABCC12	0.9796964526176453	112	0	0	1
40	73	ABCA8	ABCG4	0.9796253442764282	113	0	0	1
34	43	ABCA2	ABCB10	0.9794814586639404	114	0	0	1
23	93	AASDH	ABHD4	0.9791772961616516	115	0	0	1
15	96	AAMDC	ABHD8	0.979039192199707	116	0	0	1
39	48	ABCA7	ABCB7	0.9789560437202454	117	0	0	1
14	20	AAK1	AARS	0.9775908589363098	118	0	0	1
29	34	ABCA1	ABCA2	0.9773232936859131	119	0	0	1
78	96	ABHD11	ABHD8	0.9772564768791199	120	0	0	1
50	59	ABCB9	ABCC5	0.9770601987838745	121	0	0	1
10	34	AADACL2	ABCA2	0.9767407178878784	122	0	0	1
72	99	ABCG2	ABI3	0.9765331745147705	123	0	0	1
46	69	ABCB5	ABCF2	0.9757800698280334	124	0	0	1
23	92	AASDH	ABHD3	0.9757097363471985	125	0	0	1
7	12	AAAS	AADAT	0.9756982326507568	126	0	0	1
31	92	ABCA11P	ABHD3	0.9754520654678345	127	0	0	1
55	83	ABCC13	ABHD14B	0.9750936031341553	128	0	0	1
32	99	ABCA12	ABI3	0.9750231504440308	129	0	0	1
25	72	AASS	ABCG2	0.9748970866203308	130	0	0	1
5	67	A4GALT	ABCE1	0.97486412525177	131	0	0	1
21	98	AARS2	ABI2	0.9746918082237244	132	0	0	1
19	50	AARD	ABCB9	0.9746531844139099	133	0	0	1
1	59	A1CF	ABCC5	0.9744157791137695	134	0	0	1
39	65	ABCA7	ABCD3	0.9741073250770569	135	0	0	1
24	77	AASDHPPT	ABHD10	0.9740812182426453	136	0	0	1
54	91	ABCC12	ABHD2	0.9740808010101318	137	0	0	1
59	75	ABCC5	ABCG8	0.9735169410705566	138	0	0	1
58	79	ABCC4	ABHD12	0.973459005355835	139	0	0	1
79	87	ABHD12	ABHD17A	0.9734497666358948	140	0	0	1
38	59	ABCA6	ABCC5	0.9734118580818176	141	0	0	1
26	89	AATF	ABHD17C	0.973336398601532	142	0	0	1
14	79	AAK1	ABHD12	0.9729172587394714	143	0	0	1
11	97	AADACL4	ABI1	0.9726361632347107	144	0	0	1
66	97	ABCD4	ABI1	0.9724974036216736	145	0	0	1
54	59	ABCC12	ABCC5	0.9723539352416992	146	0	0	1
2	79	A2M	ABHD12	0.9723234176635742	147	0	0	1
1	83	A1CF	ABHD14B	0.9719395637512207	148	0	0	1
33	37	ABCA13	ABCA5	0.971659243106842	149	0	0	1
13	18	AAGAB	AAR2	0.9715983867645264	150	0	0	1
72	87	ABCG2	ABHD17A	0.9710233211517334	151	0	0	1
9	21	AADAC	AARS2	0.9708930253982544	152	0	0	1
57	59	ABCC3	ABCC5	0.970837414264679	153	0	0	1
4	82	A3GALT2	ABHD14A	0.9703481793403625	154	0	0	1
20	46	AARS	ABCB5	0.97029048204422	155	0	0	1
17	19	AANAT	AARD	0.9702288508415222	156	0	0	1
44	72	ABCB11	ABCG2	0.9701771140098572	157	0	0	1
28	93	ABAT	ABHD4	0.9700719118118286	158	0	0	1
7	89	AAAS	ABHD17C	0.9700321555137634	159	0	0	1
18	89	AAR2	ABHD17C	0.9695752263069153	160	0	0	1
10	33	AADACL2	ABCA13	0.9695619344711304	161	0	0	1
45	69	ABCB4	ABCF2	0.9691672921180725	162	0	0	1
47	51	ABCB6	ABCC1	0.9690501689910889	163	0	0	1
12	96	AADAT	ABHD8	0.9687864184379578	164	0	0	1
16	83	AAMP	ABHD14B	0.9684485793113708	165	0	0	1
41	63	ABCA9	ABCD1	0.9682474136352539	166	0	0	1
58	86	ABCC4	ABHD16B	0.9682071805000305	167	0	0	1
15	92	AAMDC	ABHD3	0.9681327939033508	168	0	0	1
28	79	ABAT	ABHD12	0.9679301977157593	169	0	0	1
38	64	ABCA6	ABCD2	0.9674929976463318	170	0	0	1
44	92	ABCB11	ABHD3	0.9673280715942383	171	0	0	1
2	96	A2M	ABHD8	0.9671582579612732	172	0	0	1
21	76	AARS2	ABHD1	0.966532289981842	173	0	0	1
82	90	ABHD14A	ABHD18	0.9655948877334595	174	0	0	1
20	89	AARS	ABHD17C	0.9655693769454956	175	0	0	1
11	20	AADACL4	AARS	0.9655170440673828	176	0	0	1
11	24	AADACL4	AASDHPPT	0.9652575254440308	177	0	0	1
58	95	ABCC4	ABHD6	0.9651508331298828	178	0	0	1
21	52	AARS2	ABCC10	0.9650925993919373	179	0	0	1
31	51	ABCA11P	ABCC1	0.9648392796516418	180	0	0	1
66	67	ABCD4	ABCE1	0.9644537568092346	181	0	0	1
60	80	ABCC6	ABHD12B	0.9636034965515137	182	0	0	1
16	52	AAMP	ABCC10	0.9635848999023438	183	0	0	1
13	81	AAGAB	ABHD13	0.9634923338890076	184	0	0	1
40	79	ABCA8	ABHD12	0.9633341431617737	185	0	0	1
12	41	AADAT	ABCA9	0.9629462361335754	186	0	0	1
76	78	ABHD1	ABHD11	0.9625982046127319	187	0	0	1
34	40	ABCA2	ABCA8	0.9623585343360901	188	0	0	1
4	97	A3GALT2	ABI1	0.9621492624282837	189	0	0	1
23	88	AASDH	ABHD17B	0.9617409706115723	190	0	0	1
41	45	ABCA9	ABCB4	0.9616663455963135	191	0	0	1
38	52	ABCA6	ABCC10	0.9615285396575928	192	0	0	1
3	12	A2ML1	AADAT	0.9614646434783936	193	0	0	1
45	50	ABCB4	ABCB9	0.9609704613685608	194	0	0	1
2	62	A2M	ABCC9	0.9609329104423523	195	0	0	1
63	92	ABCD1	ABHD3	0.9608285427093506	196	0	0	1
83	86	ABHD14B	ABHD16B	0.960335910320282	197	0	0	1
47	67	ABCB6	ABCE1	0.9602932929992676	198	0	0	1
3	55	A2ML1	ABCC13	0.9601230025291443	199	0	0	1
35	40	ABCA3	ABCA8	0.9599096775054932	200	0	0	1
20	69	AARS	ABCF2	0.9597342014312744	201	0	0	1
44	81	ABCB11	ABHD13	0.959356963634491	202	0	0	1
65	82	ABCD3	ABHD14A	0.9591911435127258	203	0	0	1
17	37	AANAT	ABCA5	0.9588244557380676	204	0	0	1
6	19	A4GNT	AARD	0.9587538242340088	205	0	0	1
46	70	ABCB5	ABCF3	0.9586102366447449	206	0	0	1
32	90	ABCA12	ABHD18	0.9585527777671814	207	0	0	1
4	47	A3GALT2	ABCB6	0.9584711194038391	208	0	0	1
49	67	ABCB8	ABCE1	0.9581079483032227	209	0	0	1
92	98	ABHD3	ABI2	0.9580671191215515	210	0	0	1
31	98	ABCA11P	ABI2	0.9580337405204773	211	0	0	1
56	67	ABCC2	ABCE1	0.957987368106842	212	0	0	1
36	92	ABCA4	ABHD3	0.9576857089996338	213	0	0	1
41	81	ABCA9	ABHD13	0.9576735496520996	214	0	0	1
14	65	AAK1	ABCD3	0.9576257467269897	215	0	0	1
24	94	AASDHPPT	ABHD5	0.9573706388473511	216	0	0	1
19	69	AARD	ABCF2	0.9573697447776794	217	0	0	1
37	66	ABCA5	ABCD4	0.9573553204536438	218	0	0	1
23	77	AASDH	ABHD10	0.9572481513023376	219	0	0	1
11	70	AADACL4	ABCF3	0.9568769335746765	220	0	0	1
10	22	AADACL2	AARSD1	0.9562815427780151	221	0	0	1
84	87	ABHD15	ABHD17A	0.9558361172676086	222	0	0	1
36	99	ABCA4	ABI3	0.9555101990699768	223	0	0	1
15	33	AAMDC	ABCA13	0.955458402633667	224	0	0	1
23	43	AASDH	ABCB10	0.9554124474525452	225	0	0	1
81	98	ABHD13	ABI2	0.9552975296974182	226	0	0	1
16	81	AAMP	ABHD13	0.955295979976654	227	0	0	1
33	94	ABCA13	ABHD5	0.9552324414253235	228	0	0	1
13	64	AAGAB	ABCD2	0.9551904797554016	229	0	0	1
78	88	ABHD11	ABHD17B	0.9545721411705017	230	0	0	1
64	83	ABCD2	ABHD14B	0.9545013904571533	231	0	0	1
1	7	A1CF	AAAS	0.9543814659118652	232	0	0	1
22	33	AARSD1	ABCA13	0.9543803930282593	233	0	0	1
23	62	AASDH	ABCC9	0.9541776776313782	234	0	0	1
78	82	ABHD11	ABHD14A	0.953856348991394	235	0	0	1
37	96	ABCA5	ABHD8	0.9536442756652832	236	0	0	1
4	99	A3GALT2	ABI3	0.9533268809318542	237	0	0	1
43	92	ABCB10	ABHD3	0.9532570838928223	238	0	0	1
6	84	A4GNT	ABHD15	0.9531233906745911	239	0	0	1
29	75	ABCA1	ABCG8	0.9530443549156189	240	0	0	1
26	47	AATF	ABCB6	0.9528366923332214	241	0	0	1
66	69	ABCD4	ABCF2	0.9527188539505005	242	0	0	1
25	28	AASS	ABAT	0.9525848031044006	243	0	0	1
45	75	ABCB4	ABCG8	0.9525395631790161	244	0	0	1
20	92	AARS	ABHD3	0.9524508714675903	245	0	0	1
64	73	ABCD2	ABCG4	0.9523207545280457	246	0	0	1
29	70	ABCA1	ABCF3	0.9518833756446838	247	0	0	1
54	87	ABCC12	ABHD17A	0.951858401298523	248	0	0	1
23	61	AASDH	ABCC8	0.951732873916626	249	0	0	1
8	40	AACS	ABCA8	0.9515515565872192	250	0	0	1
75	90	ABCG8	ABHD18	0.9514896869659424	251	0	0	1
73	75	ABCG4	ABCG8	0.9514486789703369	252	0	0	1
0	57	A1BG	ABCC3	0.9510719180107117	253	0	0	1
1	47	A1CF	ABCB6	0.9505833983421326	254	0	0	1
31	67	ABCA11P	ABCE1	0.9505621194839478	255	0	0	1
5	39	A4GALT	ABCA7	0.9504887461662292	256	0	0	1
82	89	ABHD14A	ABHD17C	0.9502855539321899	257	0	0	1
0	64	A1BG	ABCD2	0.9496520757675171	258	0	0	1
22	45	AARSD1	ABCB4	0.9496113657951355	259	0	0	1
10	23	AADACL2	AASDH	0.9496033787727356	260	0	0	1
86	96	ABHD16B	ABHD8	0.949414849281311	261	0	0	1
8	90	AACS	ABHD18	0.9492781758308411	262	0	0	1
2	74	A2M	ABCG5	0.9492766261100769	263	0	0	1
56	96	ABCC2	ABHD8	0.9488229155540466	264	0	0	1
10	85	AADACL2	ABHD16A	0.9486796259880066	265	0	0	1
30	91	ABCA10	ABHD2	0.9484886527061462	266	0	0	1
19	63	AARD	ABCD1	0.9484193921089172	267	0	0	1
25	85	AASS	ABHD16A	0.9482907056808472	268	0	0	1
9	85	AADAC	ABHD16A	0.9481539726257324	269	0	0	1
1	77	A1CF	ABHD10	0.9481397867202759	270	0	0	1
8	88	AACS	ABHD17B	0.9481159448623657	271	0	0	1
70	81	ABCF3	ABHD13	0.948042631149292	272	0	0	1
5	97	A4GALT	ABI1	0.9476308822631836	273	0	0	1
46	55	ABCB5	ABCC13	0.9472652673721313	274	0	0	1
25	54	AASS	ABCC12	0.9471290707588196	275	0	0	1
48	75	ABCB7	ABCG8	0.9470787048339844	276	0	0	1
84	89	ABHD15	ABHD17C	0.9470218420028687	277	0	0	1
51	56	ABCC1	ABCC2	0.9469754695892334	278	0	0	1
66	89	ABCD4	ABHD17C	0.9467622637748718	279	0	0	1
25	58	AASS	ABCC4	0.9462787508964539	280	0	0	1
85	92	ABHD16A	ABHD3	0.9462069869041443	281	0	0	1
11	12	AADACL4	AADAT	0.9459550976753235	282	0	0	1
75	88	ABCG8	ABHD17B	0.9450504779815674	283	0	0	1
5	68	A4GALT	ABCF1	0.9448673129081726	284	0	0	1
42	84	ABCB1	ABHD15	0.9444983005523682	285	0	0	1
51	62	ABCC1	ABCC9	0.9436529874801636	286	0	0	1
27	85	AATK	ABHD16A	0.9434014558792114	287	0	0	1
30	64	ABCA10	ABCD2	0.943387508392334	288	0	0	1
68	80	ABCF1	ABHD12B	0.9431480765342712	289	0	0	1
9	44	AADAC	ABCB11	0.9431350231170654	290	0	0	1
48	67	ABCB7	ABCE1	0.9431215524673462	291	0	0	1
20	56	AARS	ABCC2	0.9426476955413818	292	0	0	1
29	54	ABCA1	ABCC12	0.9424383640289307	293	0	0	1
5	89	A4GALT	ABHD17C	0.942430853843689	294	0	0	1
48	99	ABCB7	ABI3	0.942316472530365	295	0	0	1
26	88	AATF	ABHD17B	0.9421108961105347	296	0	0	1
58	98	ABCC4	ABI2	0.9420500993728638	297	0	0	1
0	96	A1BG	ABHD8	0.941969633102417	298	0	0	1
40	53	ABCA8	ABCC11	0.9413492679595947	299	0	0	1
1	85	A1CF	ABHD16A	0.9412012100219727	300	0	0	1
47	93	ABCB6	ABHD4	0.9410505890846252	301	0	0	1
19	88	AARD	ABHD17B	0.940680742263794	302	0	0	1
48	87	ABCB7	ABHD17A	0.9406434297561646	303	0	0	1
75	86	ABCG8	ABHD16B	0.9406252503395081	304	0	0	1
22	95	AARSD1	ABHD6	0.9406243562698364	305	0	0	1
15	94	AAMDC	ABHD5	0.9405032992362976	306	0	0	1
40	78	ABCA8	ABHD11	0.9402072429656982	307	0	0	1
44	80	ABCB11	ABHD12B	0.9399974346160889	308	0	0	1
28	46	ABAT	ABCB5	0.9398736953735352	309	0	0	1
61	65	ABCC8	ABCD3	0.9396221041679382	310	0	0	1
23	38	AASDH	ABCA6	0.9389333724975586	311	0	0	1
2	83	A2M	ABHD14B	0.9388283491134644	312	0	0	1
18	68	AAR2	ABCF1	0.9386700987815857	313	0	0	1
12	51	AADAT	ABCC1	0.9385600090026855	314	0	0	1
65	93	ABCD3	ABHD4	0.9384319186210632	315	0	0	1
59	64	ABCC5	ABCD2	0.9382546544075012	316	0	0	1
14	81	AAK1	ABHD13	0.9382423758506775	317	0	0	1
1	2	A1CF	A2M	0.9382203817367554	318	0	0	1
79	84	ABHD12	ABHD15	0.9380104541778564	319	0	0	1
16	24	AAMP	AASDHPPT	0.9377577304840088	320	0	0	1
86	93	ABHD16B	ABHD4	0.937372088432312	321	0	0	1
57	69	ABCC3	ABCF2	0.93718421459198	322	0	0	1
14	25	AAK1	AASS	0.9366264343261719	323	0	0	1
69	95	ABCF2	ABHD6	0.936342179775238	324	0	0	1
64	85	ABCD2	ABHD16A	0.936320424079895	325	0	0	1
20	60	AARS	ABCC6	0.936045229434967	326	0	0	1
0	51	A1BG	ABCC1	0.9355485439300537	327	0	0	1
26	53	AATF	ABCC11	0.9354448318481445	328	0	0	1
5	99	A4GALT	ABI3	0.9351977109909058	329	0	0	1
44	85	ABCB11	ABHD16A	0.9351310729980469	330	0	0	1
42	86	ABCB1	ABHD16B	0.9349519610404968	331	0	0	1
24	73	AASDHPPT	ABCG4	0.934822678565979	332	0	0	1
0	24	A1BG	AASDHPPT	0.9346369504928589	333	0	0	1
11	44	AADACL4	ABCB11	0.9343637228012085	334	0	0	1
15	80	AAMDC	ABHD12B	0.9341832995414734	335	0	0	1
71	87	ABCG1	ABHD17A	0.9340571761131287	336	0	0	1
51	94	ABCC1	ABHD5	0.9340030550956726	337	0	0	1
36	42	ABCA4	ABCB1	0.9339755177497864	338	0	0	1
82	85	ABHD14A	ABHD16A	0.9337779879570007	339	0	0	1
57	68	ABCC3	ABCF1	0.9334843754768372	340	0	0	1
36	93	ABCA4	ABHD4	0.9334191679954529	341	0	0	1
20	88	AARS	ABHD17B	0.9334040880203247	342	0	0	1
69	76	ABCF2	ABHD1	0.9333650469779968	343	0	0	1
47	52	ABCB6	ABCC10	0.9333429932594299	344	0	0	1
3	47	A2ML1	ABCB6	0.9327841997146606	345	0	0	1
26	99	AATF	ABI3	0.9324930310249329	346	0	0	1
40	41	ABCA8	ABCA9	0.9324232935905457	347	0	0	1
22	32	AARSD1	ABCA12	0.9323506951332092	348	0	0	1
31	88	ABCA11P	ABHD17B	0.9320318102836609	349	0	0	1
4	21	A3GALT2	AARS2	0.9319599866867065	350	0	0	1
62	91	ABCC9	ABHD2	0.9319417476654053	351	0	0	1
36	38	ABCA4	ABCA6	0.931884229183197	352	0	0	1
78	81	ABHD11	ABHD13	0.9316652417182922	353	0	0	1
72	73	ABCG2	ABCG4	0.9311047196388245	354	0	0	1
59	82	ABCC5	ABHD14A	0.9310309886932373	355	0	0	1
25	74	AASS	ABCG5	0.9309304356575012	356	0	0	1
51	57	ABCC1	ABCC3	0.9305559396743774	357	0	0	1
21	97	AARS2	ABI1	0.9300660490989685	358	0	0	1
0	95	A1BG	ABHD6	0.9299983382225037	359	0	0	1
6	22	A4GNT	AARSD1	0.9297847747802734	360	0	0	1
4	52	A3GALT2	ABCC10	0.9297542572021484	361	0	0	1
37	94	ABCA5	ABHD5	0.929239809513092	362	0	0	1
32	55	ABCA12	ABCC13	0.9288862347602844	363	0	0	1
24	49	AASDHPPT	ABCB8	0.9287831783294678	364	0	0	1
20	55	AARS	ABCC13	0.9286840558052063	365	0	0	1
41	96	ABCA9	ABHD8	0.9286723732948303	366	0	0	1
56	80	ABCC2	ABHD12B	0.9282615184783936	367	0	0	1
35	91	ABCA3	ABHD2	0.928217351436615	368	0	0	1
8	48	AACS	ABCB7	0.9280641078948975	369	0	0	1
27	46	AATK	ABCB5	0.9279900789260864	370	0	0	1
6	40	A4GNT	ABCA8	0.9278578758239746	371	0	0	1
7	27	AAAS	AATK	0.9274411797523499	372	0	0	1
44	84	ABCB11	ABHD15	0.9268676042556763	373	0	0	1
42	87	ABCB1	ABHD17A	0.9266815781593323	374	0	0	1
3	11	A2ML1	AADACL4	0.9263781905174255	375	0	0	1
80	93	ABHD12B	ABHD4	0.9256522059440613	376	0	0	1
0	56	A1BG	ABCC2	0.9256402254104614	377	0	0	1
21	69	AARS2	ABCF2	0.9255164861679077	378	0	0	1
55	59	ABCC13	ABCC5	0.9252400398254395	379	0	0	1
55	98	ABCC13	ABI2	0.9251559376716614	380	0	0	1
58	81	ABCC4	ABHD13	0.9247577786445618	381	0	0	1
44	54	ABCB11	ABCC12	0.9246426224708557	382	0	0	1
26	68	AATF	ABCF1	0.9244837164878845	383	0	0	1
77	90	ABHD10	ABHD18	0.9243831634521484	384	0	0	1
21	73	AARS2	ABCG4	0.9238259196281433	385	0	0	1
16	47	AAMP	ABCB6	0.9237260818481445	386	0	0	1
21	46	AARS2	ABCB5	0.9235565662384033	387	0	0	1
12	81	AADAT	ABHD13	0.9233973622322083	388	0	0	1
44	61	ABCB11	ABCC8	0.9232449531555176	389	0	0	1
10	19	AADACL2	AARD	0.923224687576294	390	0	0	1
54	88	ABCC12	ABHD17B	0.9231014251708984	391	0	0	1
42	66	ABCB1	ABCD4	0.9230871200561523	392	0	0	1
24	34	AASDHPPT	ABCA2	0.9229220151901245	393	0	0	1
18	96	AAR2	ABHD8	0.922897219657898	394	0	0	1
66	90	ABCD4	ABHD18	0.9226851463317871	395	0	0	1
53	68	ABCC11	ABCF1	0.9219541549682617	396	0	0	1
49	62	ABCB8	ABCC9	0.9210938811302185	397	0	0	1
34	45	ABCA2	ABCB4	0.9210665822029114	398	0	0	1
27	87	AATK	ABHD17A	0.9210057258605957	399	0	0	1
4	91	A3GALT2	ABHD2	0.92087322473526	400	0	0	1
30	37	ABCA10	ABCA5	0.920743465423584	401	0	0	1
1	23	A1CF	AASDH	0.9203872084617615	402	0	0	1
57	61	ABCC3	ABCC8	0.9200413227081299	403	0	0	1
35	78	ABCA3	ABHD11	0.9198916554450989	404	0	0	1
60	82	ABCC6	ABHD14A	0.9198838472366333	405	0	0	1
41	84	ABCA9	ABHD15	0.9198722839355469	406	0	0	1
11	37	AADACL4	ABCA5	0.9198004603385925	407	0	0	1
14	99	AAK1	ABI3	0.9192357659339905	408	0	0	1
79	83	ABHD12	ABHD14B	0.9192267060279846	409	0	0	1
35	81	ABCA3	ABHD13	0.9190543293952942	410	0	0	1
33	96	ABCA13	ABHD8	0.9190465211868286	411	0	0	1
16	36	AAMP	ABCA4	0.918808102607727	412	0	0	1
1	45	A1CF	ABCB4	0.918584942817688	413	0	0	1
56	79	ABCC2	ABHD12	0.9185624122619629	414	0	0	1
59	99	ABCC5	ABI3	0.9183079600334167	415	0	0	1
33	59	ABCA13	ABCC5	0.9171890616416931	416	0	0	1
40	97	ABCA8	ABI1	0.916969895362854	417	0	0	1
87	90	ABHD17A	ABHD18	0.9168208241462708	418	0	0	1
5	44	A4GALT	ABCB11	0.9166554808616638	419	0	0	1
50	58	ABCB9	ABCC4	0.916498064994812	420	0	0	1
14	80	AAK1	ABHD12B	0.9163889288902283	421	0	0	1
1	99	A1CF	ABI3	0.9159227013587952	422	0	0	1
26	98	AATF	ABI2	0.9159035086631775	423	0	0	1
40	87	ABCA8	ABHD17A	0.915797233581543	424	0	0	1
60	65	ABCC6	ABCD3	0.9157887101173401	425	0	0	1
12	84	AADAT	ABHD15	0.9157747626304626	426	0	0	1
10	78	AADACL2	ABHD11	0.9157096743583679	427	0	0	1
